customer_id,age,tenure_months,region,subscription_tier,num_purchases_quarter,avg_monthly_spend_gbp,returns_per_purchase,last_login_days_ago,avg_review_polarity,support_tickets_quarter,churned
100000,23,24,Ireland,free,4,57.13,0.051,,,1,0
100001,66,15,London,free,6,37.11,0.028,2.0,,2,0
100002,59,37,South,free,3,18.12,0.022,65.0,0.914,2,0
100003,45,48,Wales,free,6,82.67,0.18,19.0,,2,0
100004,45,19,South,basic,6,201.96,0.5,27.0,0.335,0,0
100005,72,55,North,basic,10,29.23,0.214,3.0,-0.25,2,0
100006,23,46,London,free,9,56.8,0.059,39.0,,0,0
100007,61,12,Ireland,basic,4,21.28,0.33,34.0,0.537,2,0
100008,30,68,London,basic,5,63.26,0.048,75.0,,0,0
100009,23,3,London,free,7,34.53,0.047,5.0,0.775,1,0
100010,51,47,London,free,7,48.91,0.035,,,0,0
100011,79,32,London,free,9,108.16,0.089,37.0,,2,0
100012,64,47,Ireland,free,4,66.4,0.181,6.0,,2,0
100013,65,56,North,basic,5,49.8,0.177,51.0,0.341,1,0
100014,63,50,Ireland,premium,10,28.22,0.094,34.0,0.511,0,0
100015,67,47,South,premium,4,88.11,0.092,57.0,,3,0
100016,50,61,Wales,premium,5,24.87,0.274,50.0,,0,0
100017,26,51,Scotland,premium,3,137.54,0.015,44.0,-0.234,0,0
100018,70,59,South,free,3,58.75,0.023,22.0,,2,0
100019,46,29,Ireland,free,6,26.43,0.098,20.0,0.051,1,1
100020,49,14,London,basic,4,18.88,0.096,19.0,0.547,0,0
100021,41,17,North,basic,5,43.27,0.171,31.0,0.342,0,0
100022,29,44,Ireland,basic,5,42.41,0.068,90.0,,1,0
100023,76,38,London,premium,7,75.05,0.047,18.0,,3,0
100024,67,5,South,free,8,26.59,0.097,133.0,-0.331,0,1
100025,58,14,North,basic,6,94.66,0.077,18.0,,2,1
100026,43,70,North,premium,6,9.27,0.111,6.0,,1,0
100027,69,53,London,basic,2,57.81,0.056,44.0,0.064,0,0
100028,52,55,Scotland,basic,4,32.89,0.199,8.0,0.461,3,0
100029,45,14,North,basic,2,58.24,0.182,79.0,0.191,3,0
100030,46,4,Wales,free,9,126.86,0.105,1.0,-0.374,1,0
100031,32,21,Scotland,free,5,102.81,0.085,5.0,,1,0
100032,23,62,South,basic,1,68.96,0.116,32.0,0.262,2,0
100033,52,36,London,free,4,138.37,0.061,103.0,0.436,0,0
100034,73,57,South,premium,9,142.38,0.275,30.0,,1,0
100035,22,35,North,premium,5,159.97,0.043,2.0,,1,0
100036,72,35,Scotland,basic,6,35.67,0.075,74.0,-0.631,2,0
100037,70,43,Scotland,free,1,91.98,0.261,34.0,0.108,1,1
100038,35,70,London,free,4,93.37,0.088,23.0,-0.411,0,0
100039,57,31,North,basic,7,54.92,0.398,39.0,-0.16,3,1
100040,28,43,South,free,7,112.52,0.232,42.0,,2,0
100041,65,67,South,free,6,55.99,0.046,35.0,-0.008,0,0
100042,62,27,London,premium,6,19.25,0.298,7.0,-0.161,0,0
100043,40,61,North,basic,6,132.77,0.086,19.0,,0,0
100044,22,39,North,premium,6,35.57,0.182,26.0,0.612,3,0
100045,79,64,London,basic,6,15.98,0.108,15.0,0.443,0,0
100046,46,34,South,premium,8,500.0,0.047,9.0,,1,0
100047,74,45,Scotland,basic,2,25.6,0.42,53.0,-0.426,0,0
100048,60,23,North,free,11,85.39,0.085,24.0,-0.501,2,1
100049,67,46,London,free,2,26.01,0.05,22.0,-0.073,3,0
100050,65,23,London,free,7,40.59,0.049,0.0,0.026,0,0
100051,30,44,North,basic,8,33.46,0.174,27.0,,1,0
100052,40,57,Scotland,free,9,27.19,0.132,13.0,-0.118,0,0
100053,47,31,South,basic,10,100.19,0.239,153.0,0.029,0,0
100054,49,31,South,free,6,267.71,0.005,68.0,0.062,1,0
100055,20,23,London,free,1,54.82,0.081,23.0,-0.164,4,0
100056,52,53,South,free,6,15.75,0.126,20.0,0.789,2,1
100057,27,43,London,free,5,26.27,0.155,15.0,0.036,1,0
100058,64,37,Wales,premium,7,30.42,0.08,33.0,-0.52,0,0
100059,61,1,London,basic,7,58.6,0.053,104.0,0.346,1,0
100060,76,8,South,free,7,40.8,0.218,52.0,0.324,0,0
100061,64,0,South,free,2,240.07,0.132,6.0,0.469,2,0
100062,41,62,South,basic,5,51.01,0.066,58.0,,1,0
100063,78,62,Wales,free,5,96.05,0.02,51.0,-0.316,0,0
100064,43,4,Wales,free,5,48.44,0.106,,,3,0
100065,38,3,Scotland,free,8,53.06,0.067,12.0,,3,0
